code,prefecture,city_en,city_jp,pop_cagr,under20_cagr,age2039_cagr,income_cagr,crime_rate,score_pop,score_under20,score_2039,score_income,score_safety,macro_total,station_score,total_score
12322,Chiba,Shisui,印旛郡酒々井町,-0.006030,-0.027092,-0.016931,0.008243,8.7,4,3,4,3,1,15,,22.5
12329,Chiba,Sakae,印旛郡栄町,-0.010147,-0.028309,-0.038784,-0.006374,4.3,3,3,1,1,9,17,,25.5
12340,,,,-0.014532,,,,6.6,2,,,,4,6,,9.0
12342,Chiba,Kozaki,香取郡神崎町,-0.012420,-0.035038,-0.022756,0.004173,4.1,3,2,3,2,9,19,24.0,43.0
12347,Chiba,Tako,香取郡多古町,-0.013797,-0.029344,-0.023043,0.034416,5.8,2,3,3,10,6,24,,36.0
12349,Chiba,Tonosho,香取郡東庄町,-0.016228,-0.038630,-0.030313,0.009510,6.9,2,1,2,3,3,11,20.5,31.5
12400,,,,-0.015882,,,,7.2,2,,,,3,5,,7.5
12403,Chiba,Kujukuri,山武郡九十九里町,-0.021377,-0.053224,-0.048776,-0.004591,6.3,1,1,1,1,5,9,,13.5
12409,Chiba,Shibayama,山武郡芝山町,-0.014834,-0.037961,-0.029693,0.101600,8.6,2,2,2,10,1,17,,25.5
12410,Chiba,Yokoshibahikari,山武郡横芝光町,-0.012541,-0.028296,-0.025047,0.010302,6.8,3,3,3,3,4,16,22.5,38.5
12420,,,,-0.011836,,,,5.5,3,,,,7,10,,15.0
12421,Chiba,Ichinomiya,長生郡一宮町,-0.001172,-0.008368,-0.024467,0.027134,6.8,6,8,3,8,4,29,25.5,54.5
12422,Chiba,Mutsuzawa,長生郡睦沢町,-0.012209,-0.018847,-0.036662,-0.062603,4.7,3,5,1,1,8,18,,27.0
12423,Chiba,Chosei,長生郡長生村,-0.010613,-0.036955,-0.028842,0.008521,5.9,3,2,2,3,6,16,24.0,40.0
12424,Chiba,Shirako,長生郡白子町,-0.014862,-0.028688,-0.036685,0.015719,6.6,2,3,1,5,4,15,,22.5
12426,Chiba,Nagara,長生郡長柄町,-0.018269,-0.048461,-0.042437,-0.011366,6.1,1,1,1,1,6,10,,15.0
12427,Chiba,Chonan,長生郡長南町,-0.020432,-0.037023,-0.045394,-0.006953,4.5,1,2,1,1,9,14,,21.0
12440,,,,-0.017774,,,,4.5,1,,,,9,10,,15.0
12441,Chiba,Otaki,夷隅郡大多喜町,-0.021928,-0.029710,-0.053262,-0.003293,6.4,1,3,1,1,5,11,,16.5
12443,Chiba,Onjuku,夷隅郡御宿町,-0.012708,-0.039679,-0.039719,0.014691,4.3,3,1,1,4,9,18,24.0,42.0
12460,,,,-0.024542,,,,1.9,1,,,,10,11,,16.5
12463,Chiba,Kyonan,安房郡鋸南町,-0.024542,-0.049977,-0.042381,-0.005992,2.5,1,1,1,1,10,14,27.5,41.5
13101,Tokyo,Chiyoda,千代田区,0.019273,0.025666,0.009091,0.053606,43.1,10,10,10,10,1,41,50.0,91.0
13102,Tokyo,Chuo,中央区,0.031009,0.044285,0.018184,0.064583,11.5,10,10,10,10,1,41,50.0,91.0
13103,Tokyo,Minato,港区,0.010767,0.020473,-0.004817,0.080012,13.2,10,10,8,10,1,39,50.0,89.0
13104,Tokyo,Shinjuku,新宿区,0.007380,0.007947,0.002284,0.038773,19.8,10,10,9,10,1,40,50.0,90.0
13105,Tokyo,Bunkyo,文京区,0.012714,0.021686,0.006168,0.046626,5.6,10,10,10,10,6,46,50.0,96.0
13106,Tokyo,Taito,台東区,0.013057,0.001282,0.025557,0.054540,12.9,10,9,10,10,1,40,50.0,90.0
13107,Tokyo,Sumida,墨田区,0.010650,-0.001246,0.021723,0.049726,6.9,10,9,10,10,3,42,50.0,92.0
13108,Tokyo,Koto,江東区,0.009267,0.005172,0.006818,0.046430,6.4,10,10,10,10,5,45,50.0,95.0
