code,prefecture,city,2017,2018,2019,2020,2021,2022,2023,2024,cagr_7y
131156,Tokyo,杉並区,1443707240,1506956630,1521304572,1523214688,1559165380,1637706127,1695563992,1788393196,0.031059
131164,Tokyo,豊島区,663702757,694560663,725687410,753620498,759019721,787989564,815492468,845581884,0.035204
131172,Tokyo,北区,658834551,673724395,698842227,718409312,742718623,781726681,801020527,842530744,0.035758
131181,Tokyo,荒川区,381267820,398826151,413849510,427985507,437775615,461878084,477166481,505172647,0.041019
131199,Tokyo,板橋区,1030999559,1063855797,1106682838,1108490477,1142569949,1194002760,1227267756,1277887845,0.031144
131202,Tokyo,練馬区,1505429630,1553721978,1570669147,1612733797,1662642546,1724767301,1765218377,1835631977,0.028735
131211,Tokyo,足立区,1092439739,1124479043,1167125382,1187288146,1226408834,1273315246,1318485801,1361784617,0.031984
131229,Tokyo,葛飾区,761907030,783877161,814746927,820479595,828798419,876801561,902051635,935921147,0.029823
131237,Tokyo,江戸川区,1202944874,1256864412,1279556407,1311428383,1336985018,1393308864,1423795910,1477636057,0.029817
132012,Tokyo,八王子市,919519284,937127744,944113554,957767444,967902026,1006074882,1020154201,1054608111,0.019775
132021,Tokyo,立川市,324723124,335901041,342693862,349066670,352930844,380663590,379204843,395168321,0.028445
132039,Tokyo,武蔵野市,402296735,414980302,420176741,431630525,436518714,455964686,474583629,489334364,0.028375
132047,Tokyo,三鷹市,417856280,436213858,440831916,445478282,455823583,481032633,495760285,515635979,0.030493
132055,Tokyo,青梅市,199198731,202497528,204052640,202656594,203031433,210023953,213566324,213525313,0.009971
132063,Tokyo,府中市,490340523,505579221,515169403,516842974,536096909,549479639,566695164,588684736,0.026457
132071,Tokyo,昭島市,179249074,182681094,186564558,190193047,195387053,206262227,207213773,209932092,0.022829
132080,Tokyo,調布市,489842226,499118014,517123258,527862851,540328286,562658484,577574265,595474397,0.028289
132098,Tokyo,町田市,770342741,779732193,794629072,788080956,807154480,839147283,858556475,878390349,0.018928
132101,Tokyo,小金井市,262722252,264998919,274209546,274593991,285053519,299133175,314992580,314347523,0.02596
132110,Tokyo,小平市,340922215,354772737,359180579,370763455,375883980,392030294,400829667,412954527,0.027762
132128,Tokyo,日野市,330227367,338838190,348402854,350004999,361243406,372230869,381920371,390609916,0.02428
132136,Tokyo,東村山市,241514219,246385098,250241787,253801168,258857032,271462272,274727505,280766539,0.021747
132144,Tokyo,国分寺市,262783739,273133823,287936719,291162727,297873306,313040656,322114002,332075962,0.033998
132152,Tokyo,国立市,167831080,169065544,169802192,175604340,175462162,184573782,191162477,200619195,0.025821
132187,Tokyo,福生市,87561270,88157409,91309772,89363854,91899246,94293069,95026140,95438258,0.012382
132195,Tokyo,狛江市,157581345,164177934,173087253,171130072,177667611,183066364,189219815,191404094,0.028167
132209,Tokyo,東大和市,138114149,140454757,141857414,142220194,143217612,149773181,148863910,150605068,0.012445
132217,Tokyo,清瀬市,114294631,117456742,117618694,121821473,124069749,129506651,133796922,138249066,0.027555
132225,Tokyo,東久留米市,192180202,199699440,201254156,201386413,204359409,212552489,217383416,224298427,0.022323
132233,Tokyo,武蔵村山市,98469362,99632736,103079363,103353590,104245678,108135024,110188609,112573010,0.019306
132241,Tokyo,多摩市,263408283,266039281,271112591,273745144,277700615,282343952,295512868,296471290,0.017036
132250,Tokyo,稲城市,170394509,175678622,179538015,183359121,189486354,198317536,202445915,214582395,0.033488
132276,Tokyo,羽村市,90475088,91264339,93867738,92235758,93026489,96682305,96298654,97958109,0.011417
132284,Tokyo,あきる野市,118392285,119587989,120162905,121713853,124021034,129842585,129789789,131546937,0.015165
132292,Tokyo,西東京市,371477354,379638550,390217061,389875254,397894895,424463739,434780821,444451164,0.025953
133035,Tokyo,瑞穂町,46816561,47787615,47499247,47981600,48693399,50707132,51856635,50696889,0.01144
133051,Tokyo,日の出町,22323735,21900550,22076587,21872782,22299472,23581295,23590890,22729249,0.002575
133078,Tokyo,檜原村,2217889,2277123,2208283,2271807,2439938,2478645,2307264,2217197,-4.5e-05
133086,Tokyo,奥多摩町,5642794,5697131,5804131,5698995,5736600,5853100,5727555,5377739,-0.006849
133612,Tokyo,大島町,10330068,10033311,10097412,9946563,10120805,10529032,10121886,10604005,0.003746
133639,Tokyo,新島村,3353784,3443186,3539461,3439659,3530162,3753510,3680905,3644853,0.011961
133647,Tokyo,神津島村,2542148,2619811,2626140,2580437,2690923,2758276,2609272,2622246,0.004442
133817,Tokyo,三宅村,3795635,4081310,3820920,3838787,3931988,4338040,4002729,4026756,0.00848
134015,Tokyo,八丈町,9038896,9248654,9307242,9135278,9497342,10327033,9858464,10142594,0.016594
