code,prefecture,city_jp,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cagr_10y
13112,東京都,世田谷区,874332,,892535,900107,908907,917486,920372,916208,915439,918141,923210,0.005454
13113,東京都,渋谷区,217008,,222278,224680,226594,229671,230506,229013,229412,230609,231402,0.006443
13114,東京都,中野区,316625,,325460,328683,331658,335234,334632,332017,333593,337377,341322,0.007539
13115,東京都,杉並区,547165,,558950,564489,569132,574118,573504,569703,570786,572843,577147,0.005349
13116,東京都,豊島区,275507,,284307,287111,289508,290246,287300,283342,288704,291650,294644,0.006738
13117,東京都,北区,338084,,345149,348030,351976,353908,353158,351278,353732,357701,362089,0.006883
13118,東京都,荒川区,209087,,213113,214644,215966,217146,216535,215543,216814,219268,222278,0.006137
13119,東京都,板橋区,544172,,557309,561713,566890,571357,570213,567214,568241,572927,578914,0.006208
13120,東京都,練馬区,714656,,723711,728479,732433,739435,740099,738358,738914,741540,745927,0.004292
13121,東京都,足立区,674111,,681281,685447,688512,691298,691002,689106,690114,693223,698276,0.003528
13122,東京都,葛飾区,449527,,456893,460423,462591,464550,463691,462083,464175,467000,469916,0.004446
13123,東京都,江戸川区,680262,,691514,695366,698031,700079,696123,689739,688153,689961,693570,0.001939
13201,東京都,八王子市,562572,,563228,563178,562460,562480,561828,561758,562145,560692,559083,-0.000622
13202,東京都,立川市,179090,,181554,182658,183822,184090,184577,185124,185483,185825,186257,0.003932
13203,東京都,武蔵野市,142138,,143964,144902,146399,146871,147643,148025,147964,147809,148034,0.004073
13204,東京都,三鷹市,182092,,185101,186375,187199,188461,190126,190590,189916,189959,190497,0.004523
13205,東京都,青梅市,137052,,135986,135248,134086,133032,132145,131124,130274,129468,129105,-0.005956
13206,東京都,府中市,254551,,258000,258654,260011,260232,260255,260253,259924,260078,260998,0.002504
13207,東京都,昭島市,112727,,112789,113244,113215,113397,113552,113829,114259,114516,115632,0.002548
13208,東京都,調布市,224191,,229886,232473,235169,237054,237815,237939,238505,238774,239348,0.006563
13209,東京都,町田市,426648,,428572,428742,428685,428821,429152,430385,430831,430380,430170,0.000822
13210,東京都,小金井市,117427,,119359,120268,121443,122306,123828,124617,124756,124614,125174,0.006409
13211,東京都,小平市,186958,,189885,191308,193596,194869,195543,195361,196924,196913,196799,0.005143
13212,東京都,日野市,180975,,183589,184667,185393,186346,187027,187304,187254,187494,188477,0.004070
13213,東京都,東村山市,151412,,150739,151018,150789,151255,151575,151695,151814,151751,151795,0.000253
13214,東京都,国分寺市,119379,,120656,121673,123689,125170,126862,127792,128238,128762,129500,0.008171
13215,東京都,国立市,74558,,75452,75723,76038,76280,76371,76317,76168,75889,76079,0.002022
13218,東京都,福生市,58553,,58554,58384,58243,57617,57024,56274,56201,56512,56582,-0.003418
13219,東京都,狛江市,79096,,80807,81788,82481,83257,83268,83022,82749,82102,82048,0.003671
13220,東京都,東大和市,86162,,85945,85718,85565,85301,85317,85285,84870,85085,84996,-0.001362
13221,東京都,清瀬市,74374,,74510,74845,74737,74636,74905,74948,74702,74596,75011,0.000853
13222,東京都,東久留米市,116494,,116867,116830,116896,116916,117007,117091,116839,116512,116325,-0.000145
13223,東京都,武蔵村山市,72092,,72238,72489,72546,72382,72023,71872,71296,71018,70696,-0.001953
13224,東京都,多摩市,147486,,148293,148724,148745,148823,148479,147528,148210,147776,148084,0.000405
13225,東京都,稲城市,86594,,89089,89915,90585,91540,92262,93007,93421,93781,93916,0.008150
13227,東京都,羽村市,56604,,56244,55870,55607,55354,54725,54609,54504,54416,54126,-0.004466
13228,東京都,あきる野市,81697,,81403,80985,80851,80667,80221,80112,79807,79513,79244,-0.003044
13229,東京都,西東京市,198267,,199790,201058,202817,205125,206047,205805,205876,205899,206245,0.003953
13300,東京都,西多摩郡*,58759,,58284,57968,57341,56695,56259,55843,55354,54951,54489,-0.007516
13303,東京都,西多摩郡瑞穂町,33808,,33716,33532,33213,32824,32568,32328,32161,32062,32013,-0.005441
13305,東京都,西多摩郡日の出町,17062,,17015,16959,16732,16695,16588,16549,16409,16300,16061,-0.006028
13307,東京都,西多摩郡檜原村*,2379,,2283,2244,2217,2138,2112,2069,2038,1986,1923,-0.021055
13308,東京都,西多摩郡奥多摩町*,5510,,5270,5233,5179,5038,4991,4897,4746,4603,4492,-0.020219
13360,東京都,島しょ*,27039,,26307,26044,25706,25339,24926,24552,24170,23793,23272,-0.014891
13361,東京都,大島町,8253,,8015,7880,7716,7544,7411,7262,7150,6982,6813,-0.018992
13362,東京都,利島村,307,,315,321,323,322,310,332,317,314,300,-0.002304
13363,東京都,新島村*,2888,,2753,2724,2722,2688,2633,2547,2495,2453,2415,-0.017727
13364,東京都,神津島村*,1938,,1878,1894,1898,1919,1887,1877,1813,1775,1737,-0.010890
13381,東京都,三宅島　三宅村,2714,,2583,2538,2481,2425,2383,2362,2301,2254,2211,-0.020289
13382,東京都,御蔵島村*,298,,303,320,317,318,307,299,292,291,302,0.001334
13401,東京都,八丈島　八丈町*,7921,,7706,7560,7465,7326,7224,7128,7053,6968,6838,-0.014595
